"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2018년 07월 05일","468.47","467.58","478.59","459.68","1.74M","0.20%"
"2018년 07월 04일","467.52","461.90","480.69","453.94","1.28M","1.22%"
"2018년 07월 03일","461.89","475.73","483.93","460.63","1.72M","-2.90%"
"2018년 07월 02일","475.70","452.57","479.94","442.29","1.91M","5.11%"
"2018년 07월 01일","452.57","452.72","456.02","445.06","1.67M","-0.02%"
"2018년 06월 30일","452.67","434.92","457.49","433.46","1.82M","3.97%"
"2018년 06월 29일","435.37","421.23","441.29","406.12","1.78M","3.35%"
"2018년 06월 28일","421.27","442.16","443.32","418.62","1.66M","-4.73%"
"2018년 06월 27일","442.16","430.32","445.38","423.01","2.02M","2.75%"
"2018년 06월 26일","430.33","458.76","459.96","429.87","5.31M","-6.20%"
"2018년 06월 25일","458.76","454.81","472.54","437.08","4.41M","0.87%"
"2018년 06월 24일","454.81","474.14","475.74","419.56","2.64M","-4.08%"
"2018년 06월 23일","474.14","462.58","482.42","456.46","1.22M","2.50%"
"2018년 06월 22일","462.57","525.97","526.26","450.72","1.74M","-12.06%"
"2018년 06월 21일","526.01","536.31","544.71","522.47","774.03K","-1.92%"
"2018년 06월 20일","536.31","538.22","541.08","517.42","873.14K","-0.36%"
"2018년 06월 19일","538.22","517.91","547.50","514.88","985.96K","3.92%"
"2018년 06월 18일","517.91","496.47","523.95","489.16","842.05K","4.33%"
"2018년 06월 17일","496.43","496.95","507.19","494.73","604.79K","-0.10%"
"2018년 06월 16일","496.93","487.88","502.47","484.89","749.09K","1.86%"
"2018년 06월 15일","487.88","519.49","520.73","483.99","1.25M","-6.09%"
"2018년 06월 14일","519.49","476.17","525.21","461.62","1.70M","9.10%"
"2018년 06월 13일","476.17","494.60","501.64","450.67","1.56M","-3.70%"
"2018년 06월 12일","494.48","531.40","538.16","484.99","1.24M","-6.95%"
"2018년 06월 11일","531.42","524.64","535.63","510.29","1.21M","1.29%"
"2018년 06월 10일","524.64","593.80","593.82","503.43","1.49M","-11.65%"
"2018년 06월 09일","593.80","599.67","608.65","592.54","534.16K","-0.98%"
"2018년 06월 08일","599.67","604.71","608.32","593.74","622.54K","-0.83%"
"2018년 06월 07일","604.71","606.39","616.52","600.29","843.32K","-0.28%"
"2018년 06월 06일","606.39","608.83","611.63","593.98","700.74K","-0.40%"
"2018년 06월 05일","608.83","591.44","613.00","577.53","829.99K","2.94%"
"2018년 06월 04일","591.44","619.09","624.81","580.71","809.80K","-4.46%"
"2018년 06월 03일","619.08","591.33","627.51","590.81","764.93K","4.70%"
"2018년 06월 02일","591.30","579.34","598.78","574.80","808.42K","2.07%"
"2018년 06월 01일","579.30","577.87","589.55","565.69","861.91K","0.25%"
"2018년 05월 31일","577.87","557.96","586.15","554.96","922.24K","3.56%"
"2018년 05월 30일","557.98","566.86","584.90","543.16","1.06M","-1.56%"
"2018년 05월 29일","566.81","512.32","572.71","511.94","1.38M","10.64%"
"2018년 05월 28일","512.29","570.67","575.00","507.72","1.50M","-10.23%"
"2018년 05월 27일","570.69","586.63","591.48","558.44","892.94K","-2.74%"
"2018년 05월 26일","586.76","585.39","606.26","579.36","651.25K","0.24%"
"2018년 05월 25일","585.39","602.40","616.48","569.77","1.08M","-2.83%"
"2018년 05월 24일","602.43","577.52","609.39","547.39","1.56M","4.31%"
"2018년 05월 23일","577.55","642.02","649.85","564.74","1.78M","-10.06%"
"2018년 05월 22일","642.17","696.84","698.48","639.20","928.09K","-7.85%"
"2018년 05월 21일","696.85","716.02","718.06","694.07","590.69K","-2.68%"
"2018년 05월 20일","716.02","696.73","722.92","688.70","702.63K","2.77%"
"2018년 05월 19일","696.76","693.28","716.51","683.38","732.31K","0.50%"
"2018년 05월 18일","693.28","668.98","694.24","658.25","906.93K","3.63%"
"2018년 05월 17일","668.97","706.53","718.50","663.91","953.69K","-5.32%"
"2018년 05월 16일","706.53","705.73","710.49","667.51","978.18K","0.11%"
"2018년 05월 15일","705.73","727.06","738.71","696.63","1.03M","-2.93%"
"2018년 05월 14일","727.06","729.41","741.52","687.16","1.39M","-0.32%"
"2018년 05월 13일","729.37","684.77","739.67","669.20","1.01M","6.64%"
"2018년 05월 12일","683.94","676.97","689.83","635.23","1.34M","1.14%"
"2018년 05월 11일","676.21","724.36","736.58","665.81","1.63M","-6.65%"
"2018년 05월 10일","724.40","751.98","768.24","723.39","983.14K","-3.62%"
"2018년 05월 09일","751.62","747.98","759.71","711.49","1.07M","0.42%"
"2018년 05월 08일","748.48","759.35","761.43","721.49","1.14M","-0.74%"
"2018년 05월 07일","754.03","793.29","797.30","700.40","2.12M","-4.94%"
"2018년 05월 06일","793.19","818.75","838.26","755.09","1.16M","-3.07%"
"2018년 05월 05일","818.33","785.29","830.03","782.18","1.00M","4.22%"
"2018년 05월 04일","785.20","778.97","806.90","760.10","1.24M","0.80%"
"2018년 05월 03일","778.95","688.23","788.61","686.79","1.55M","13.19%"
"2018년 05월 02일","688.15","671.31","690.97","664.29","873.98K","2.52%"
"2018년 05월 01일","671.26","670.12","674.36","630.33","1.03M","0.18%"
"2018년 04월 30일","670.07","689.83","693.85","664.03","913.86K","-2.87%"
"2018년 04월 29일","689.90","683.49","700.05","669.15","856.12K","0.94%"
"2018년 04월 28일","683.49","643.96","693.79","640.92","871.55K","6.14%"
"2018년 04월 27일","643.97","661.65","685.54","641.84","1.06M","-2.78%"
"2018년 04월 26일","662.36","617.37","665.20","600.69","1.37M","7.29%"
"2018년 04월 25일","617.36","702.94","703.25","594.98","2.72M","-12.18%"
"2018년 04월 24일","703.02","644.08","711.74","644.05","1.48M","9.14%"
"2018년 04월 23일","644.13","622.01","648.58","619.81","859.64K","3.52%"
"2018년 04월 22일","622.23","605.58","643.58","591.78","1.02M","2.75%"
"2018년 04월 21일","605.59","617.10","623.86","574.73","1.23M","-1.86%"
"2018년 04월 20일","617.04","567.70","620.58","558.27","1.42M","8.73%"
"2018년 04월 19일","567.49","525.74","570.15","522.15","1.04M","7.96%"
"2018년 04월 18일","525.66","503.24","526.41","502.02","759.15K","4.47%"
"2018년 04월 17일","503.19","511.75","520.86","501.73","826.71K","-1.69%"
"2018년 04월 16일","511.82","533.89","537.32","498.87","1.03M","-4.14%"
"2018년 04월 15일","533.90","502.52","534.18","502.52","988.29K","6.24%"
"2018년 04월 14일","502.52","494.36","514.14","486.89","924.64K","1.83%"
"2018년 04월 13일","493.48","494.25","528.71","482.19","1.67M","-0.11%"
"2018년 04월 12일","494.03","430.13","498.13","414.07","1.86M","14.85%"
"2018년 04월 11일","430.14","415.43","433.25","412.35","827.17K","3.54%"
"2018년 04월 10일","415.45","399.04","417.84","391.81","709.22K","4.11%"
"2018년 04월 09일","399.05","400.67","430.85","388.05","1.30M","-0.41%"
"2018년 04월 08일","400.71","384.85","403.71","384.85","569.26K","4.12%"
"2018년 04월 07일","384.87","369.97","394.66","369.41","600.40K","4.03%"
"2018년 04월 06일","369.97","381.69","385.70","363.83","700.80K","-3.03%"
"2018년 04월 05일","381.52","378.62","386.91","367.21","903.27K","0.75%"
"2018년 04월 04일","378.68","415.58","416.38","371.35","1.12M","-8.87%"
"2018년 04월 03일","415.55","385.02","418.78","380.89","1.06M","7.92%"
"2018년 04월 02일","385.07","378.85","393.94","375.67","824.81K","1.67%"
"2018년 04월 01일","378.75","394.10","399.46","359.49","1.24M","-3.86%"
"2018년 03월 31일","393.96","393.75","419.07","390.09","1.21M","0.04%"
"2018년 03월 30일","393.79","384.13","411.17","366.12","1.96M","2.52%"
"2018년 03월 29일","384.12","446.86","449.33","380.85","2.01M","-14.03%"
"2018년 03월 28일","446.84","448.73","465.09","440.84","918.12K","-0.37%"
"2018년 03월 27일","448.48","485.97","491.77","446.70","1.31M","-7.72%"
"2018년 03월 26일","485.98","523.46","526.22","467.46","1.15M","-7.17%"
"2018년 03월 25일","523.50","520.44","535.11","513.05","495.85K","0.59%"
"2018년 03월 24일","520.45","543.15","545.15","520.05","554.62K","-4.23%"
"2018년 03월 23일","543.42","539.90","543.51","508.36","871.89K","0.66%"
"2018년 03월 22일","539.87","559.90","577.63","517.81","887.95K","-3.63%"
"2018년 03월 21일","560.24","557.09","589.83","545.87","1.01M","0.57%"
"2018년 03월 20일","557.08","555.75","566.63","517.02","1.16M","0.17%"
"2018년 03월 19일","556.16","536.72","558.33","516.31","1.46M","3.62%"
"2018년 03월 18일","536.72","549.96","559.19","454.90","2.56M","-2.46%"
"2018년 03월 17일","550.27","600.48","609.48","544.51","777.54K","-8.41%"
"2018년 03월 16일","600.79","610.36","625.34","585.84","695.58K","-1.53%"
"2018년 03월 15일","610.13","612.08","620.01","572.69","991.89K","-0.32%"
"2018년 03월 14일","612.09","689.67","702.53","587.10","990.48K","-11.24%"
"2018년 03월 13일","689.57","697.06","713.80","680.01","558.73K","-1.07%"
"2018년 03월 12일","697.04","720.12","739.25","678.27","664.59K","-3.20%"
"2018년 03월 11일","720.12","682.77","733.33","664.53","690.94K","5.51%"
"2018년 03월 10일","682.52","725.70","746.13","678.46","673.80K","-5.97%"
"2018년 03월 09일","725.89","698.91","728.83","644.46","1.13M","3.85%"
"2018년 03월 08일","698.96","750.09","772.23","689.41","850.15K","-6.80%"
"2018년 03월 07일","749.98","814.56","824.83","724.98","945.38K","-7.96%"
"2018년 03월 06일","814.88","850.00","851.72","803.90","578.56K","-4.16%"
"2018년 03월 05일","850.24","865.53","870.27","850.24","466.38K","-1.77%"
"2018년 03월 04일","865.53","855.91","867.35","838.06","444.49K","1.12%"
"2018년 03월 03일","855.91","855.46","868.51","853.45","407.54K","-0.02%"
"2018년 03월 02일","856.09","870.51","875.69","850.47","463.75K","-1.60%"
"2018년 03월 01일","870.04","852.44","879.53","848.41","514.50K","2.06%"
"2018년 02월 28일","852.49","871.58","888.06","850.84","550.74K","-2.17%"
"2018년 02월 27일","871.44","867.06","894.78","861.40","569.30K","0.51%"
"2018년 02월 26일","866.99","841.28","879.18","835.34","619.75K","3.11%"
"2018년 02월 25일","840.88","834.10","849.36","818.46","507.82K","0.78%"
"2018년 02월 24일","834.36","854.99","874.49","810.91","669.62K","-2.60%"
"2018년 02월 23일","856.65","803.56","882.61","787.95","868.36K","6.59%"
"2018년 02월 22일","803.66","838.97","878.14","789.92","849.82K","-4.22%"
"2018년 02월 21일","839.10","884.94","906.43","818.48","1.01M","-5.13%"
"2018년 02월 20일","884.51","940.04","959.41","877.65","788.97K","-5.91%"
"2018년 02월 19일","940.08","913.09","954.94","910.29","552.22K","2.95%"
"2018년 02월 18일","913.10","971.57","980.27","903.28","869.06K","-6.02%"
"2018년 02월 17일","971.54","937.35","972.86","934.49","648.32K","3.63%"
"2018년 02월 16일","937.50","927.34","945.68","907.33","662.76K","1.07%"
"2018년 02월 15일","927.56","919.53","945.99","902.56","952.23K","0.86%"
"2018년 02월 14일","919.67","841.38","922.38","840.82","993.86K","9.30%"
"2018년 02월 13일","841.38","865.72","868.92","822.98","733.53K","-2.80%"
"2018년 02월 12일","865.62","811.01","875.52","810.99","837.42K","6.81%"
"2018년 02월 11일","810.45","851.44","854.10","778.90","988.45K","-4.81%"
"2018년 02월 10일","851.39","877.88","908.26","816.72","1.05M","-3.01%"
"2018년 02월 09일","877.85","805.15","879.51","781.97","923.81K","9.00%"
